ThirdEyeChic Optometry; Optometrists; 3.5 star rating; 8 reviews; Battery Park; 220 Murray St, New York, NY 10282; (212) 227-0360
Columbia Acupuncture, PC; Acupuncture, Massage, Weight Loss Centers; 4.5 star rating; 15 reviews; Washington Heights; 251 Ft Washington Ave, Manhattan, NY 10032; (212) 927-8039
Community Healthcare Network; Medical Centers; 5.0 star rating; 1 review; Washington Heights; 1996 Amsterdam Ave, New York, NY 10032; (212) 781-7979
Naomi Berrie Diabetes Center At Columbia University; Doctors; 3.0 star rating; 4 reviews; Washington Heights; 1150 Saint Nicholas Avenue, New York, NY 10032; (212) 851-5494
Columbia Ob/Gyn Uptown; Health & Medical; 3.0 star rating; 4 reviews; Washington Heights; 161 Fort Washington Ave, New York, NY 10032; (212) 305-5515
New York Presbyterian Hospital - Herbert Irving Pavilion; Hospitals; 3.0 star rating; 2 reviews; Washington Heights; 161 Fort Washington Ave, New York, NY 10032; (877) 902-2232
New York Presbyterian Hospital Urgent Care; Urgent Care; 4.0 star rating; 1 review; Washington Heights; 21 Audubon Ave, New York, NY 10032; (212) 342-4700
Jacqueline Carreno, MD; Doctors; 3.5 star rating; 4 reviews; Washington Heights; 29 Wadsworth Ave, New York, NY 10033; (917) 512-9774
Samadhi; Acupuncture, Medical Spas; 4.5 star rating; 8 reviews; Union Square, Gramercy, Flatiron; 32 Union Square E, Manhattan, NY 10003; (917) 657-4515
Samantha Story LAc; Acupuncture; 5.0 star rating; 4 reviews; Union Square, Gramercy, Flatiron; 41 Union Sq E, New York, NY 10003; (646) 436-8355
Synergy Health Associates; Chiropractors, Nutritionists; 5.0 star rating; 3 reviews; Union Square, Greenwich Village; 80 5th Ave, Manhattan, NY 10011; (212) 243-5515
Hand Therapy NYC, CHT; Physical Therapy, Occupational Therapy, Rehabilitation Center; 5.0 star rating; 2 reviews; Union Square, Gramercy, Flatiron; 32 Union Square E, Manhattan, NY 10003; (718) 501-2311
Perfect Stride Physical Therapy; Physical Therapy; 5.0 star rating; 11 reviews; Union Square, Flatiron; 41 Union Square W, Manhattan, NY 10003; (917) 494-4284
Beth Israel Medical Center; Medical Centers; 2.0 star rating; 53 reviews; Union Square, Gramercy, Flatiron; 10 Union Sq E, Manhattan, NY 10003; (212) 420-2000
NY Sports Med; Sports Medicine; 4.0 star rating; 19 reviews; Union Square, Flatiron; New York, NY 10003; (212) 750-1110
Peter Silver, DDS; General Dentistry; 4.5 star rating; 36 reviews; Union Square, Greenwich Village; 24 E 12th St, New York, NY 10003; (212) 924-6890
Body Align Physical Therapy; Physical Therapy; 5.0 star rating; 13 reviews; Union Square, Gramercy, Flatiron; 32 Union Square E, New York, NY 10003; (646) 328-2525
CityMD - East 86th Street; Urgent Care, Medical Centers, Family Practice; 4.5 star rating; 174 reviews; Yorkville, Upper East Side; 336 East 86th St, New York, NY 10028; (212) 772-3627
Veech Sports Chiropractic; Chiropractors; 5.0 star rating; 50 reviews; Union Square, Greenwich Village; 853 Broadway, New York, NY 10003; (646) 470-6480
SPEAR Physical Therapy; Physical Therapy; 5.0 star rating; 18 reviews; Yorkville, Upper East Side; 245 E 84th St, Manhattan, NY 10028; (646) 841-1414
Sebastian Lighvani, MD; Allergists; 5.0 star rating; 23 reviews; Yorkville, Upper East Side; 261 E 78th St, New York, NY 10075; (212) 517-3300
Zion Physical Therapy; Physical Therapy; 5.0 star rating; 14 reviews; Yorkville, Upper East Side; 1556 3rd Ave, New York, NY 10128; (212) 353-8693
Howard Sobel, MD PC; Dermatologists, Laser Hair Removal, Cosmetic Surgeons; 3.5 star rating; 24 reviews; Yorkville, Upper East Side; 960 Park Ave, New York, NY 10028; (212) 288-0060
Eastside Massage Therapy; Massage, Day Spas, Medical Spas; 4.0 star rating; 60 reviews; Yorkville, Upper East Side; 351 E 78th St, New York, NY 10075; (212) 249-2927
Body Healing Massage Therapy; Massage Therapy, Medical Spas; 4.5 star rating; 67 reviews; Yorkville, Upper East Side; 239 E 73rd St, New York, NY 10021; (212) 717-8318
Acupuncture Health Center; Acupuncture, Traditional Chinese Medicine; 4.5 star rating; 11 reviews; Yorkville, Upper East Side; 330 E 85th St, New York, NY 10028; (212) 996-2988
Revival Acupuncture & Herbs; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 12 reviews; Yorkville, Upper East Side; 1407 York Ave, New York, NY 10021; (646) 545-9600
Richard Nass MD; Allergists, Ear Nose & Throat; 5.0 star rating; 4 reviews; Yorkville, Upper East Side; 1430 2nd Ave, New York, NY 10021; (212) 734-4515
Rodrigo F Viecilli, DDS, PhD; Orthodontists; 0; 0; Greenwich Village, NoHo; 726 Broadway, Ste 350, Manhattan, NY 10003; (212) 443-1300
Dr. Sudhir Gadh MD; Psychiatrists; 0; 0; Greenwich Village; 80 East 11th Street, New York, NY 10003; (917) 502-4529
Union Square Practice; Psychiatrists, Psychologists; 0; 0; Union Square, Greenwich Village; 817 Broadway, New York, NY 10003; (212) 335-2100
New York Psychotherapy Cooperative; Counseling & Mental Health; 0; 0; Greenwich Village; 24 E 12th St, New York, NY 10003; (877) 733-3769
12th Meridian Holistic Center; Chiropractors, Massage Therapy; 4.0 star rating; 1 review; Greenwich Village; 34 W 12th St, Manhattan, NY 10011; (212) 989-0850
Erin Kirwin, ND; Naturopathic/Holistic; 5.0 star rating; 1 review; Greenwich Village; 214 Sullivan St, Ste 3B, New York, NY 10012; (646) 485-5229
Aaron Agne; Life Coach, Counseling & Mental Health; 0; 0; Union Square, Greenwich Village; 24 E 12th St, Manhattan, NY 10003; (646) 926-7416
Paul Saks, PhD, Licensed Psychologist; Counseling & Mental Health; 0; 0; Greenwich Village; 80 University Pl, Manhattan, NY 10003; (347) 239-7511
Synergetic Psychotherapy; Counseling & Mental Health; 0; 0; Greenwich Village; 41 E 11th St, Manhattan, NY 10003; (917) 399-3837
Supriya Kothavale, DO; Psychiatrists; 0; 0; Union Square, Greenwich Village; 817 Broadway, New York, NY 10003; (347) 913-5954
Lawrence M Spindel, DDS; Cosmetic Dentists; 5.0 star rating; 5 reviews; Midtown East, Murray Hill; 30 E 40th St, New York, NY 10016; (212) 685-0312
Yael Halaas, MD; Cosmetic Surgeons; 4.5 star rating; 15 reviews; Midtown East; 120 E 56th St, New York, NY 10022; (212) 688-5955
Gilbert Beldengreen, DDS PC; General Dentistry; 5.0 star rating; 9 reviews; Midtown East; 425 Madison Ave, New York, NY 10017; (212) 752-1919
Madison Medical Practice; Urgent Care; 2.5 star rating; 33 reviews; Midtown East; 274 Madison Ave, New York, NY 10016; (212) 686-5800
Jonathan R. Stieber, M.D.; Orthopedists; 4.5 star rating; 11 reviews; Midtown East; 820 2nd Ave, New York, NY 10017; (212) 883-8868
One Medical Group; Family Practice, Internal Medicine; 4.5 star rating; 19 reviews; Midtown East; 515 Madison Ave, New York, NY 10022; (212) 530-0650
H&D Physical & Occupational Therapy; Physical Therapy; 4.5 star rating; 6 reviews; Midtown East; 12 E 46th St, New York, NY 10017; (929) 282-2028
Lyon & Martin Medical Associates, PC; Doctors; 3.5 star rating; 15 reviews; Midtown East; 59 E 54th St, New York, NY 10022; (212) 750-8330
Integrative Physical Therapy of NYC; Physical Therapy, Sports Medicine, Massage Therapy; 5.0 star rating; 15 reviews; Midtown East, Murray Hill; 370 Lexington Ave, New York, NY 10017; (212) 953-6040
MRPT Physical Therapy; Physical Therapy, Rehabilitation Center, Massage; 4.0 star rating; 4 reviews; Midtown East; 6 E 45th St, New York, NY 10017; (212) 661-2933
Spiral2grow; Counseling & Mental Health; 5.0 star rating; 3 reviews; Midtown East, Murray Hill; 260 Madison Ave, New York, NY 10016; (917) 692-3867
CityMD - E37th Street; Urgent Care, Doctors; 4.0 star rating; 41 reviews; Midtown East, Murray Hill; 561 3rd Avenue, New York, NY 10016; (212) 729-4668
Elena Jenkins Acupuncture; Acupuncture; 5.0 star rating; 2 reviews; Midtown East, Murray Hill; 370 Lexington Ave, New York, NY 10017; (609) 865-7976
New York Custom Physical Therapy; Physical Therapy; 5.0 star rating; 6 reviews; Midtown East, Murray Hill; 295 Madison Ave, New York, NY 10017; (212) 682-7860
Darin Transformations; Counseling & Mental Health, Reiki; 5.0 star rating; 3 reviews; Midtown East, Murray Hill; 185 Madison Ave, New York, NY 10016; (914) 500-3712
Claire Fitzpatrick; Chiropractors, Nutritionists; 5.0 star rating; 2 reviews; Midtown East, Murray Hill; 280 Madison Ave., New York, NY 10016; (646) 657-3737
Yunker Acupuncture; Acupuncture; 5.0 star rating; 1 review; Midtown East, Murray Hill; 124 E 40th St, Manhattan, NY 10016; (917) 596-6385
Parkmed NYC; Obstetricians & Gynecologists, Medical Centers; 3.0 star rating; 5 reviews; Midtown East, Murray Hill; 800 2nd Ave, New York, NY 10017; (212) 686-6066
Carlos Valdes, DMD; Cosmetic Dentists, General Dentistry; 4.5 star rating; 5 reviews; Midtown East, Murray Hill, Kips Bay; 471 3rd Ave, Manhattan, NY 10016; (212) 929-0080
Meng Acupuncture; Acupuncture; 0; 0; Midtown East, Murray Hill; 303 5th Ave, New York, NY 10016; (212) 663-1881
Lower Manhattan Dialysis; Dialysis Clinics; 0; 0; SoHo; 9 Crosby Street, New York, NY 10013; (212) 925-8020
Stuart Lewis, MD; Internal Medicine; 3.5 star rating; 20 reviews; SoHo; 594 Broadway, New York, NY 10012; (212) 219-8858
Spring Ob/Gyn; Obstetricians & Gynecologists; 3.0 star rating; 71 reviews; SoHo; 135 Spring St, New York, NY 10012; (212) 219-1187
Allergy and Asthma Care of New York; Allergists; 5.0 star rating; 2 reviews; SoHo; 77 Mercer St, New York, NY 10012; (212) 274-0800
Barry Cohen, MD; Doctors; 3.5 star rating; 12 reviews; SoHo; 73 Spring St, New York, NY 10012; (212) 219-7716
Mercer Street Medical; Internal Medicine, Dermatologists; 3.0 star rating; 16 reviews; SoHo; 552 Broadway St, New York, NY 10012; (212) 274-0800
Soho Medical; Ear Nose & Throat, General Dentistry; 1.0 star rating; 3 reviews; SoHo; 589 Broadway Fl 2, New York, NY 10012; (212) 219-7600
Kamlet David A MD PC; Doctors; 3.0 star rating; 4 reviews; Hell's Kitchen, Midtown West; 345 W 58th St Bsmt, New York, NY 10019; (212) 581-4797
Dr. George J. Zambetti Jr, MD; Orthopedists, Sports Medicine; 2.5 star rating; 14 reviews; Hell's Kitchen, Midtown West; 343 w 58th St, New York, NY 10019; (212) 506-0236
42nd Street Dental Associates; General Dentistry; 1.5 star rating; 24 reviews; Theater District, Hell's Kitchen, Midtown West; 330 W 42nd St, Manhattan, NY 10036; (212) 631-0222
Voice Analysis; null; 0; 0; Hell's Kitchen, Midtown West; 326 W 55th St Apt 4D, New York, NY 10019; (212) 245-3803
Y A I; null; 0; 0; Hell's Kitchen, Chelsea, Midtown West; 460 W 34th Street, New York, NY 10001; (212) 868-0668
Yai; null; 0; 0; Hell's Kitchen, Chelsea, Midtown West; 460 W 34th St Fl 11, New York, NY 10001; (212) 273-6515
Westside Auto; null; 0; 0; Hell's Kitchen, Midtown West; 612 W 47th Street, New York, NY 10036; (212) 757-5572
Y A I Clinic (Center For Specialty Therapy); null; 0; 0; Hell's Kitchen, Chelsea, Midtown West; 460 W 34th Street, New York, NY 10001; (212) 273-6515
Jessica Allan, MD; Doctors; 2.5 star rating; 6 reviews; Hell's Kitchen, Midtown West; 333 W 57th St, New York, NY 10019; (212) 247-6358
Gramercy Park Acupuncture; Acupuncture; 5.0 star rating; 4 reviews; Upper West Side; 230 West 72nd St, New York, NY 10023; (212) 845-9031
Akhavan Iraj MD; Doctors; 1.0 star rating; 3 reviews; Theater District, Hell's Kitchen, Midtown West; 315 W 50th St, New York, NY 10019; (212) 333-7661
David Borenstein, MD; Doctors; 3.5 star rating; 39 reviews; Upper West Side; 1841 Broadway, New York, NY 10023; (212) 262-2412
The Eastern; Nutritionists, Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 1 review; Upper West Side; 2109 Broadway, Manhattan, NY 10023; (347) 458-5891
Central Park West Dental Studio; General Dentistry, Cosmetic Dentists, Endodontists, Oral Surgeons; 3.0 star rating; 11 reviews; Upper West Side; 350 Central Park W, New York, NY 10025; (212) 678-1144
Cynthia J MacKay, MD; Ophthalmologists; 3.0 star rating; 5 reviews; Upper West Side; 315 Central Park W, New York, NY 10025; (212) 772-6050
Mindful Health; Nutritionists; 4.0 star rating; 4 reviews; Upper West Side; 1841 Broadway, New York, NY 10023; (212) 245-3129
NY Allergy and Sinus Centers; Allergists, Medical Centers; 5.0 star rating; 3 reviews; Upper West Side; 336 Central Park W, New York, NY 10025; (212) 686-6321
Recovery Physical Therapy; Physical Therapy; 4.5 star rating; 7 reviews; Upper West Side; 248 W 80th St, New York, NY 10024; (212) 874-1550
Ann Lang Associates; Physical Therapy, Occupational Therapy; 5.0 star rating; 2 reviews; Upper West Side; 263 West End Ave, New York, NY 10023; (212) 787-6585
Robert  Peracchia, DDS; Pediatric Dentists; 4.5 star rating; 5 reviews; Upper West Side; 327 Central Park W, New York, NY 10025; (212) 280-1700
Harry Koster, MD; Ophthalmologists, Laser Eye Surgery/Lasik; 4.0 star rating; 23 reviews; TriBeCa; 37-39 Murray St, New York, NY 10007; (212) 243-2300
Tribeca Pediatrics; Pediatricians, Lactation Services; 3.0 star rating; 24 reviews; TriBeCa; 46 Warren St, Manhattan, NY 10007; (212) 226-7666
Tribeca Dental Club; Oral Surgeons, General Dentistry, Periodontists; 4.0 star rating; 11 reviews; TriBeCa; 123 Chambers St, New York, NY 10007; (212) 587-0000
Nisar A Quraishi, MD; Internal Medicine; 4.0 star rating; 4 reviews; TriBeCa; 303 Greenwich St, New York, NY 10013; (212) 233-4320
Tribeca Spine And Wellness Center; Chiropractors, Massage, Acupuncture; 3.5 star rating; 5 reviews; TriBeCa; 51 Warren St, New York, NY 10007; (212) 374-0102
Serenity New York; Rehabilitation Center; 1.0 star rating; 1 review; TriBeCa; 285 W Broadway, New York, NY 10013; (646) 668-0352
Eye D Vision Optical; Optometrists, Eyewear & Opticians; 5.0 star rating; 46 reviews; Bath Beach, Bensonhurst; 2057 86th St, Brooklyn, NY 11214; (718) 355-9656
Lenco Diagnostic Laboratories; Laboratory Testing; 1.0 star rating; 2 reviews; Bath Beach, Bensonhurst; 1857 86th St, Brooklyn, NY 11214; (718) 232-1515
Complete Acupuncture Wellness; Acupuncture, Traditional Chinese Medicine, Naturopathic/Holistic; 0; 0; Bath Beach, Bensonhurst; 8 Bay 35th St, Brooklyn, NY 11214; (718) 265-6919
Back to Health Physical Therapy Associates; Physical Therapy, Massage Therapy, Sports Medicine; 5.0 star rating; 1 review; Bath Beach; 153 Bay 26th St, Brooklyn, NY 11214; (718) 676-2478
Night & Day Medical; Medical Centers; 0; 0; Bath Beach; 8717 21st Ave, Brooklyn, NY 11214; (718) 369-1818
USA Vein; Medical Centers; 0; 0; Bath Beach; 2444 86th St, Bensonhurst, NY 11214; (718) 878-4303
BayFit Physical Therapy; Physical Therapy, Weight Loss Centers, Sports Medicine; 0; 0; Bath Beach; 8942 15th Ave, Brooklyn, NY 11228; (347) 585-6125
Dyker Heights Dialysis Center; Dialysis Clinics; 0; 0; Bath Beach, Bensonhurst; 1435 86th St, Brooklyn, NY 11228; (718) 256-5800
Tri-State College of Acupuncture; Acupuncture, Colleges & Universities; 4.0 star rating; 7 reviews; Chelsea, West Village; 80 8th Ave, New York, NY 10011; (212) 242-2255
Krisczar J Bungay, MD; Internal Medicine; 4.5 star rating; 31 reviews; Meatpacking District, West Village; 314 W 14th St, New York, NY 10044; (212) 620-0144
SEE; Eyewear & Opticians, Optometrists; 4.0 star rating; 56 reviews; West Village; 312 Bleecker St, New York, NY 10014; (212) 989-7060
Rochat Holistic Health; Naturopathic/Holistic, Acupuncture; 5.0 star rating; 2 reviews; West Village; 230 W 13th St, New York, NY 10011; (917) 410-6223
Steve Horney; Physical Therapy, Rehabilitation Center; 5.0 star rating; 6 reviews; West Village; 600 Washington St, Manhattan, NY 10014; (646) 397-7869
Seanna Sifflet, LAc, MSW; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 1 review; Meatpacking District, West Village; 408 W 14th Street, New York, NY 10014; (212) 530-0639
Stephen Clark, MD; Family Practice, Internal Medicine; 0; 0; Meatpacking District, West Village; 408 W 14th Street, New York, NY 10014; (212) 530-0639
Second Opinion Radiology; Radiologists; 0; 0; West Village; 666 Greenwich St, New York, NY 10014; (646) 509-7410
Diagnostic Radiology Assocs; Radiologists; 2.5 star rating; 36 reviews; Chelsea; 230 W 17th St, New York, NY 10011; (212) 989-8999
Continuum Cancer Centers; Hospitals; 0; 0; Meatpacking District, Chelsea; 325 W 15th St, New York, NY 10011; (877) 226-2376
Children’s Safety Programs; Cannabis Clinics, Florists; 0; 0; Chelsea; 234 W 22nd St, New York, NY 10011; (212) 627-2332
Spencer Cox Center for Health; Medical Centers; 2.0 star rating; 5 reviews; Chelsea; 230 W 17th St, New York, NY 10011; (212) 523-6500
Ephraim Ovitsh, MD; Obstetricians & Gynecologists; 4.0 star rating; 14 reviews; Chelsea; 200 W 20th St, New York, NY 10011; (212) 647-8560
American Dental Center; General Dentistry; 1.5 star rating; 15 reviews; Chelsea, Midtown West; 241 W 30th St, New York, NY 10001; (917) 351-0200
The Financial; null; 0; 0; Chelsea, Midtown West; 115 W 30th St Rm 702, New York, NY 10001; (646) 810-4042
Dr Walk-In Medical Care; Medical Spas; 1.0 star rating; 1 review; Chelsea; 131 8th Ave, New York, NY 10011; (212) 675-4800
NYC Health Service; Medical Centers; 3.0 star rating; 2 reviews; Chelsea; 303 9th Ave, New York, NY 10001; 
American Dental Arts; General Dentistry; 2.0 star rating; 11 reviews; Chelsea; 420 W 23rd St, New York, NY 10011; (212) 929-9200
Alexander Fish, DPM; Podiatrists, Sports Medicine; 0; 0; Theater District, Midtown West; 825 7th Ave, New York, NY 10019; (212) 757-7437
Papadakis & Gonzalez DDS; Cosmetic Dentists, Endodontists; 4.0 star rating; 10 reviews; Upper East Side; 47 E 77th St, New York, NY 10075; (212) 689-7199
Chiromed Clinic Assoc; Chiropractors; 0; 0; Theater District, Midtown West; 825 7th Ave, New York, NY 10019; (212) 956-5920
Open Door Acupuncture & Herb; Acupuncture; 0; 0; Theater District, Midtown West; 130 W 42nd St, New York, NY 10036; (347) 266-5500
Roosevelt Hospital Doctors Offices; Hospitals; 3.5 star rating; 15 reviews; Theater District, Hell's Kitchen, Midtown West; 780 8th Ave, New York, NY 10036; (212) 641-4500
Miles and Tisch Eyecare; Optometrists, Eyewear & Opticians; 2.0 star rating; 56 reviews; Theater District, Hell's Kitchen, Midtown West; 888 8th Ave, New York, NY 10019; (212) 765-2660
42nd Street Dental Associates; General Dentistry; 1.5 star rating; 24 reviews; Theater District, Hell's Kitchen, Midtown West; 330 W 42nd St, Manhattan, NY 10036; (212) 631-0222
Sports PT of NY; Physical Therapy; 3.0 star rating; 2 reviews; Theater District, Midtown West; 1633 Broadway, New York, NY 10019; (212) 315-9578
Laboratories Management; null; 0; 0; Theater District, Midtown West; 205 W 54th St, New York, NY 10019; (212) 969-9064
Zion Physical Therapy; Physical Therapy; 5.0 star rating; 14 reviews; Yorkville, Upper East Side; 1556 3rd Ave, New York, NY 10128; (212) 353-8693
Howard Sobel, MD PC; Dermatologists, Laser Hair Removal, Cosmetic Surgeons; 3.5 star rating; 24 reviews; Yorkville, Upper East Side; 960 Park Ave, New York, NY 10028; (212) 288-0060
Manhattan Gastroenterology; Doctors; 4.5 star rating; 11 reviews; Upper East Side; 170 E 78th St, New York, NY 10075; (212) 427-8761
Maurice M Khosh, MD, FACS; Cosmetic Surgeons; 4.5 star rating; 8 reviews; Upper East Side; 580 Park Ave, New York, NY 10065; (212) 339-9988
Eastside Massage Therapy; Massage, Day Spas, Medical Spas; 4.0 star rating; 60 reviews; Yorkville, Upper East Side; 351 E 78th St, New York, NY 10075; (212) 249-2927
Body Healing Massage Therapy; Massage Therapy, Medical Spas; 4.5 star rating; 67 reviews; Yorkville, Upper East Side; 239 E 73rd St, New York, NY 10021; (212) 717-8318
David S. Feldman, MD; Pediatricians, Orthopedists; 1.0 star rating; 1 review; Gramercy, Flatiron; 67 Irving Pl, New York, NY 10003; (212) 533-5310
University Eye Center; Optometrists, Colleges & Universities; 2.5 star rating; 30 reviews; Midtown West; 33 W 42nd St, New York, NY 10036; (212) 938-4001
Akhavan Iraj MD; Doctors; 1.0 star rating; 3 reviews; Theater District, Hell's Kitchen, Midtown West; 315 W 50th St, New York, NY 10019; (212) 333-7661
Lenox Hill Hospital; Hospitals; 3.0 star rating; 88 reviews; Upper East Side; 100 E 77th St, New York, NY 10075; (212) 434-2000
Recovery Physical Therapy; Physical Therapy; 4.0 star rating; 4 reviews; Upper East Side; 157 E 86th St, New York, NY 10028; (212) 831-3315
Ronald A  Primas, MD; Internal Medicine, Urgent Care; 5.0 star rating; 6 reviews; Upper East Side; 952 5th Ave, New York, NY 10021; (212) 737-1212
Liss Polina Md; Doctors; 4.0 star rating; 5 reviews; Gramercy; 305 2nd Ave Ste 4, New York, NY 10003; (212) 375-0005
Enzo Clinic Labs; null; 0; 0; Gramercy; 303 2nd Avenue, New York, NY 10003; (212) 475-2479
Downstate Clinic Labs; null; 0; 0; Gramercy; 303 2nd Avenue, New York, NY 10003; (212) 673-5233
American Clinic Svces; null; 0; 0; Gramercy; 305 2nd Ave, New York, NY 10003; (212) 253-2532
Beth Israel Medical Center OB-GYN; Medical Centers, Obstetricians & Gynecologists; 1.0 star rating; 10 reviews; Stuyvesant Town, Gramercy; 350 East 17th St, New York, NY 10003; (212) 420-2553
Robin R Blum, MD, FAAD; Dermatologists; 4.5 star rating; 13 reviews; Midtown West; 200 Central Park, New York, NY 10019; (212) 969-9655
Diamond Vision; Ophthalmologists, Laser Eye Surgery/Lasik; 3.5 star rating; 37 reviews; Midtown West; 15 W 44th St, New York, NY 10036; (212) 838-2020
Wang’s - New York Acupuncture & Chinese Herbs; Acupuncture, Traditional Chinese Medicine; 4.5 star rating; 15 reviews; Theater District, Midtown West; 159 W 53rd St, New York, NY 10019; (212) 262-9898
NYC Pain Specialists - Karan Johar, MD, PLLC; Orthopedists; 5.0 star rating; 5 reviews; Midtown West; 30 Central Park S, New York, NY 10019; (212) 371-8460
Andreas Boker, MD; Dermatologists; 4.5 star rating; 7 reviews; Theater District, Midtown West; 130 W 42 St, Manhattan, NY 10036; (646) 626-6509
Irene Brandes, DDS, PC; Cosmetic Dentists, General Dentistry; 4.5 star rating; 6 reviews; Midtown West; 630 5th Ave, Ste 1818, New York, NY 10111; (212) 868-7170
Central Park Urology; Urologists; 4.0 star rating; 17 reviews; Hell's Kitchen, Midtown West; 330 W 58th St, New York, NY 10019; (929) 256-5166
Jane’s Apotherapy & Massage Therapy; Physical Therapy, Massage Therapy; 4.0 star rating; 12 reviews; Midtown West; 119 W 57th St, New York, NY 10019; (212) 586-9550
Shauna Cummins, CH, NGH; Hypnosis/Hypnotherapy; 5.0 star rating; 4 reviews; Chelsea, Midtown West; 135 W 29th St, New York, NY 10001; (715) 575-1980
Jeffrey A Goldstein, MD; Orthopedists; 5.0 star rating; 2 reviews; Financial District; 19 Beekman St, New York, NY 10038; (212) 513-7711
City Dental PC; General Dentistry; 2.0 star rating; 13 reviews; Financial District; 11 Broadway, New York, NY 10004; (646) 741-6726
Ayurvedas World; Nutritionists, Skin Care, Massage; 4.0 star rating; 6 reviews; Financial District; 80 Nassau St, New York, NY 10038; (212) 260-6084
Anca Rosca, MD; Obstetricians & Gynecologists; 3.5 star rating; 11 reviews; Financial District; 170 William St, 1st Fl, New York, NY 10038; (212) 312-5747
Innovative Healthcare Physicians; Obstetricians & Gynecologists, Diagnostic Services, Fertility; 2.5 star rating; 27 reviews; Financial District; 225 Broadway, New York, NY 10007; (646) 679-1171
Laura Florman, LCSW; Professional Services, Psychologists; 5.0 star rating; 1 review; Financial District; 160 Broadway, New York, NY 10038; (212) 693-0201
Access Community Health Center; Medical Centers; 2.5 star rating; 5 reviews; Financial District; 83 Maiden Ln, New York, NY 10038; (212) 895-3410
Dental Specialty Associates; Cosmetic Dentists, Endodontists; 1.0 star rating; 19 reviews; Financial District; 225 Broadway, Manhattan, NY 10007; (646) 525-4822
Giron Fabio MD; Doctors; 1.0 star rating; 1 review; Financial District; 170 William St, New York, NY 10038; (212) 238-0114
Souferian B, DDS PC; General Dentistry, Cosmetic Dentists; 5.0 star rating; 6 reviews; Bay Ridge; 8301 3rd Ave, Brooklyn, NY 11209; (929) 267-3722
Treat & Release Center; Internal Medicine; 3.5 star rating; 38 reviews; Bay Ridge; 8012 3rd Ave, Brooklyn, NY 11209; (718) 745-5600
Militello Dermatology; Dermatologists; 4.0 star rating; 8 reviews; Fort Hamilton, Bay Ridge; 10031 4th Ave, Brooklyn, NY 11209; (718) 921-3376
CityMD - Bay Ridge; Urgent Care, Doctors; 4.0 star rating; 16 reviews; Fort Hamilton, Bay Ridge; 8712 4th Avenue, Brooklyn, NY 11209; (718) 530-1155
Brooklyn Integrative Health Care; Nutritionists, Chiropractors, Massage; 5.0 star rating; 5 reviews; Bay Ridge; 430 79th St, Brooklyn, NY 11209; (718) 748-6644
Bridge Family Dental; Cosmetic Dentists, General Dentistry; 4.0 star rating; 5 reviews; Bay Ridge; 8116 3rd Ave, Brooklyn, NY 11209; (718) 833-1847
Ridge Family Smiles; General Dentistry; 4.0 star rating; 5 reviews; Bay Ridge; 68-30 Ridge Blvd, Brooklyn, NY 11220; (718) 333-5185
Leona Kotlyar, DDS; Pediatric Dentists; 5.0 star rating; 2 reviews; Bay Ridge; 7815  5th Ave, Brooklyn, NY 11209; (718) 745-4422
Julia Alikina, L Ac; Acupuncture, Reflexology; 5.0 star rating; 1 review; Fort Hamilton, Bay Ridge; 277 88 St, Brooklyn, NY 11209; (347) 325-1515
Manual Physical Therapy; Physical Therapy; 0; 0; Bay Ridge; 418 77th St, Brooklyn, NY 11209; (718) 745-5550
Clutch Physical Therapy; Physical Therapy; 5.0 star rating; 3 reviews; Yorkville, Upper East Side; 244 E 84th St, New York, NY 10028; (212) 203-6802
Yorkville Endoscopy; Gastroenterologist; 4.5 star rating; 9 reviews; Yorkville, Upper East Side; 201 E 93rd St, New York, NY 10128; (212) 897-1006
Paradigm Physical Therapy, PC; Physical Therapy; 5.0 star rating; 2 reviews; Yorkville, Upper East Side; 1556 3rd Ave (87th St), Manhattan, NY 10128; (212) 884-9401
Luxury Dentistry NYC; Cosmetic Dentists, General Dentistry, Periodontists; 4.5 star rating; 30 reviews; Yorkville, Upper East Side; 328 E 75th St, New York, NY 10021; (212) 759-7535
Manhattan’s Physician Group; Medical Centers, Doctors; 2.0 star rating; 20 reviews; Yorkville, Upper East Side; 215 E 95th St, New York, NY 10128; (212) 996-8000
Marina Gastanovich, MD, PC; Internal Medicine, Family Practice; 2.5 star rating; 17 reviews; Yorkville, Upper East Side; 1550 York Ave, New York, NY 10028; (212) 249-6218
Prisca Chen, L.Ac.; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 1 review; Yorkville, Upper East Side; 261 E 78th St, New York, NY 10075; (929) 273-1228
Jonathan Aviv, MD, FACS; Ear Nose & Throat; 5.0 star rating; 2 reviews; Yorkville, Upper East Side; 210 E 86th St, 9th Fl, New York, NY 10028; (212) 722-5570
Mount Sinai Adolescent Health Center; Medical Centers; 5.0 star rating; 5 reviews; Yorkville, Upper East Side; 320 E 94th St, New York, NY 10128; (212) 423-3000
Yorkville Dental; General Dentistry, Orthodontists, Endodontists; 2.5 star rating; 40 reviews; Yorkville, Upper East Side; 1485 1st Ave, New York, NY 10021; (212) 535-4199
NY Chi Acupuncture; Acupuncture; 5.0 star rating; 3 reviews; Midtown East; 16 E 40th St, Manhattan, NY 10016; (917) 546-4637
