1 Barker Little Learning Tree; Preschools, Child Care & Day Care; 0; 0; Port Richmond; 1 Barker St, Staten Island, NY 10310; (855) 334-8631 
Citizens Care Day Care Cntr; Elementary Schools, Preschools; 0; 0; Harlem; 131 Saint Nicholas Avenue, New York, NY 10026; (212) 666-1683 
City Tots; Preschools, Summer Camps; 0; 0; Upper East Side; 309 E 62nd St, New York, NY 10065; (212) 248-9868 
City and Country School; Child Care & Day Care, Preschools, Middle Schools & High Schools; 0; 0; West Village; 146 W 13th St, New York, NY 10011; (212) 242-7802 
CityKids Preschool; Preschools; 0; 0; Washington Heights, Inwood; 631 Academy St, New York, NY 10034; (212) 304-5106 
CityKinder; Preschools, Language Schools; 5.0 star rating; 1 review; Astoria; New York, NY 10023;  
Clarita’s Day Care; Preschools, Child Care & Day Care; 0; 0; East Harlem; 70 E 116th St, New York, NY 10029; (646) 359-0027 
Claudine’s Little Folks; Preschools, Child Care & Day Care; 0; 0; Forest Hills; 62-43 99th St, Rego Park, NY 11374; (718) 592-5608 
Cobble Hill Playgroup; Preschools; 0; 0; Carroll Gardens; 93 Rapelye St, Brooklyn, NY 11231; (718) 243-0440 
Columbia Greenhse Nursry Schl; Elementary Schools, Preschools; 0; 0; Morningside Heights; 424 W 116th St, New York, NY 10027; (212) 666-4796 
Columbus Park West Nursery School; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Upper West Side; 100 W 94th Street, New York, NY 10025; (212) 866-1567 
Columbus Pre-School; Preschools, Summer Camps, Educational Services; 5.0 star rating; 1 review; Upper West Side; 606 Columbus Ave, New York, NY 10024; (212) 721-0092 
Community House; Elementary Schools, Preschools; 0; 0; Forest Hills; 15 Borage Place, Forest Hills, NY 11375; (718) 268-7710 
Comprehensive Kids Developmental Center; Preschools; 0; 0; Lower East Side; 101 Norfolk St, New York, NY 10002; (212) 566-8855 
Congregation Habonim; Preschools, Elementary Schools, Child Care & Day Care; 0; 0; Upper West Side; 101 West End Ave, New York, NY 10023; (212) 787-5347 
Corlears School; Preschools, Elementary Schools, Middle Schools & High Schools; 3.5 star rating; 2 reviews; Meatpacking District, Chelsea; 324 W 15th Street, New York, NY 10011; (212) 741-2800 
CosmoKidz Preschool and Daycare Center; Preschools; 5.0 star rating; 5 reviews; Flushing, Pomonok; 71-33 162nd St, Fresh Meadows, NY 11365; (718) 380-5439 
Crayon Box Preschool; Child Care & Day Care, Preschools; 5.0 star rating; 1 review; Flushing, Auburndale; 44-10 192nd St., Flushing, NY 11358; (718) 888-9341 
Creative Academy Daycare Center; Preschools, Child Care & Day Care; 5.0 star rating; 3 reviews; East Williamsburg; 228 Bushwick Ave, Brooklyn, NY 11206; (347) 689-2222 
Cross Island YMCA; Gyms, Child Care & Day Care, Preschools; 3.5 star rating; 11 reviews; Bellerose; 23810 Hillside Ave, Bellerose, NY 11426; (718) 551-9300 
Cuddly Bundles Childcare; Child Care & Day Care; 4.5 star rating; 3 reviews; Concourse Village; 137 E 150th St, Bronx, NY 10451; (718) 402-4801 
David Foster Preschool Academy; Elementary Schools, Preschools; 0; 0; Prospect Lefferts Gardens; 580 Rogers Avenue, Brooklyn, NY 11225; (718) 462-0776 
Daycares After School Program; Preschools, Child Care & Day Care; 0; 0; Mount Eden; 285 E 171st St, Claremont, NY 10457;  
Dayton Towers West Nursery; Elementary Schools, Preschools, Child Care & Day Care; 0; 0; Seaside; 10500 Shore Front Pkwy, Rockaway Park, NY 11694; (718) 474-8274 
Dewitt Church-Headstart; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Lower East Side; 123 Ridge Street, New York, NY 10002; (212) 505-8050 
Divine Mercy Catholic Academy; Religious Schools, Elementary Schools, Preschools; 0; 0; Ozone Park; 101-60 92nd St, Ozone Park, NY 11416; (718) 845-3074 
Downing St Playgroup Cooperative; Child Care & Day Care, Elementary Schools, Preschools; 5.0 star rating; 1 review; West Village; 32 Carmine Street, New York, NY 10014; (212) 924-2557 
Downtown Day Camp; Child Care & Day Care, Preschools, Day Camps; 0; 0; TriBeCa; 120 Warren St, Manhattan, NY 10007; (212) 766-1104 
Duffield Children’s Center; Child Care & Day Care; 0; 0; Fort Greene, Downtown Brooklyn; 101 Fleet Place, Brooklyn, NY 11201; (718) 522-5296 
Dwight  school; Elementary Schools, Preschools; 0; 0; Upper West Side; 140 Riverside Blvd, New York, NY 10069; (212) 362-2350 
Early Sunrise Preschool; Child Care & Day Care; 0; 0; Jamaica; 18710 Hillside Avenue, Jamaica, NY 11432; (718) 736-9064 
East Calvary Nursry Schl; Elementary Schools, Preschools; 0; 0; East Harlem; 1 W 112th Street, New York, NY 10026; (212) 534-5249 
East Harlem Council For Human Scves; Elementary Schools, Preschools; 0; 0; East Harlem; 30 E 111th St, New York, NY 10029; (212) 860-7201 
Easy Learning Preschool; Child Care & Day Care; 0; 0; Rochdale; 12404 Rockaway Blvd, South Ozone Park, NY 11420; (718) 843-1740 
Ecole Internationale De New York; Preschools, Elementary Schools, Middle Schools & High Schools; 2.0 star rating; 5 reviews; Gramercy, Flatiron; 111 E 22nd St, New York, NY 10010; (646) 410-2238 
Educating Young Ones Group Family Daycare; Preschools; 0; 0; Bedford Park; 30 W 190th St, Bronx, NY 10468; (718) 220-3126 
Educating Young Ones; Child Care & Day Care, Preschools; 0; 0; Bedford Park; 30 W 190th St, Bronx, NY 10468; (718) 220-3126 
Effie B’S Early Childhood Development Center; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Weeksville, Crown Heights; 1173 Eastern Pkwy, Brooklyn, NY 11213; (646) 480-2339 
El Pequeno Artista; Preschools, Art Schools; 3.5 star rating; 2 reviews; South Slope; 249 20th St, Brooklyn, NY 11215; (718) 965-1406 
Elliott’s Classes; Kids Activities, Preschools; 0; 0; Upper West Side; 131 W 86th St, New York, NY 10024; (917) 517-8721 
Eltingville Lutheran School; Elementary Schools, Preschools; 0; 0; Great Kills; 300 Genesee Ave, Staten Island, NY 10312; (718) 356-7811 
Emerson Jas Gordon Rev; Elementary Schools, Religious Organizations, Preschools, Child Care & Day Care; 0; 0; Forest Hills; 7035 112th St, Forest Hills, NY 11375; (718) 268-8546 
Epiphany Community Nursery School; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Yorkville, Upper East Side; 510 E 74th St, New York, NY 10021; (212) 737-2977 
Estevez Group Daycare; Preschools; 0; 0; Mount Hope; 215 Mount Hope pl, West Bronx, NY 10457; (646) 221-7764 
Estrellitas Day Care#2; Child Care & Day Care, Preschools; 0; 0; Ozone Park; 9756 105th St, Ozone Park, NY 11416; (347) 537-1447 
Evolution Enrichment Center; Child Care & Day Care, Preschools; 5.0 star rating; 1 review; Lower East Side; 38 Delancey St, New York, NY 10002; (212) 375-9500 
Excel Charter School; Preschools; 0; 0; Canarsie; 1077 Remsen Ave, Canarsie, NY 11236; (718) 303-3245 
Explore + Discover Early Learning Center; Child Care & Day Care, Preschools; 5.0 star rating; 1 review; Kips Bay; 444 2nd Avenue, New York, NY 10010; (347) 441-4629 
FIAF Preschool; Preschools; 0; 0; Upper East Side; 22 E 60th St, Manhattan, NY 10022; (646) 388-6694 
Families First; Preschools; 0; 0; Cobble Hill; 250 Baltic St, Brooklyn, NY 11201; (718) 237-1862 
Family Pre-K; Elementary Schools, Preschools, Child Care & Day Care; 0; 0; Bath Beach; 8885 26th Avenue, Brooklyn, NY 11214; (718) 265-5138 
Family School West the; Child Care & Day Care, Preschools, Elementary Schools; 0; 0; Theater District, Hell's Kitchen, Midtown West; 308 W 46th St, New York, NY 10036; (212) 688-5950 
FasTracKids; Preschools, Tutoring Centers, Specialty Schools; 5.0 star rating; 3 reviews; Park Slope, Gowanus; 150 4th Ave, Brooklyn, NY 11217; (718) 260-8100 
FasTracKids; Preschools, Tutoring Centers, Summer Camps; 0; 0; Yorkville, Upper East Side; 307 E 84th St, Manhattan, NY 10028; (212) 737-3344 
FasTracKids; Preschools; 5.0 star rating; 3 reviews; Bensonhurst, Dyker Heights; 7612 13th Ave, Brooklyn, NY 11228; (718) 748-3000 
FastracKids & JEI Learning Center; Tutoring Centers, Preschools; 4.5 star rating; 3 reviews; Flushing, Fresh Meadows; 192-11 Union Tpke, Fresh Meadows, NY 11366; (718) 740-7888 
Find Gan; Preschools; 0; 0; Flushing, Fresh Meadows; Fresh Meadows, NY 11366; (866) 305-0545 
Finger Painted Hands Preschool; Preschools; 5.0 star rating; 1 review; Upper West Side; 126 W 83rd St, New York, NY 10024; (212) 595-5200 
First Bloom Family Daycare; Child Care & Day Care, Preschools; 5.0 star rating; 1 review; East Tremont; 975 E 181st St, Bronx, NY 10460; (347) 553-1904 
First Friends Daycare; Child Care & Day Care; 0; 0; Ozone Park; 97-38 89th St, Ozone Park, NY 11416; (718) 845-3663 
First Friends Preschool; Elementary Schools, Preschools; 0; 0; Upper West Side; 245 W 74th Street, New York, NY 10023; (212) 769-1088 
First Impressions Nursery School; Child Care & Day Care, Preschools, Elementary Schools; 0; 0; Flatbush; 782 Rogers Avenue, Brooklyn, NY 11226; (718) 462-5009 
First Steps Academy; Preschools; 5.0 star rating; 3 reviews; Lower East Side; 21 Clinton St, New York, NY 10002; (646) 726-4289 
Forest Hills Daycare & Nursery; Preschools; 0; 0; Forest Hills; 108-56 69th Ave, Forest Hills, NY 11375; (718) 544-3692 
Forest Hills Nursery & Kindergarten; Child Care & Day Care, Preschools, Elementary Schools; 3.0 star rating; 2 reviews; Forest Hills; 10856 69th Ave, Forest Hills, NY 11375; (718) 544-3692 
Forest Park School; Child Care & Day Care, Preschools, Elementary Schools; 0; 0; Forest Hills; 10235 63rd Road, Forest Hills, NY 11375; (718) 896-4444 
Forest Pk Nursery & Kindergarten; Child Care & Day Care, Preschools, Elementary Schools; 4.0 star rating; 1 review; Forest Hills; 10235 63rd Rd, Forest Hills, NY 11375; (718) 896-4444 
Francis of Paola Pre School Early Learning Center; Elementary Schools, Preschools; 0; 0; East Williamsburg; 201 Conselyea Street, Brooklyn, NY 11211; (718) 782-1462 
Friends Preschool & Daycare; Child Care & Day Care; 5.0 star rating; 1 review; Woodrow; 610 Bloomingdale Rd, Staten Island, NY 10309; (718) 984-5194 
Friends and Family Day Care; Child Care & Day Care; 0; 0; East Harlem; 1677 Lexington Ave, Manhattan, NY 10029; (212) 534-7160 
Funworks For Kids; Preschools; 5.0 star rating; 1 review; Yorkville, Upper East Side; 201 E 83rd St, New York, NY 10028; (917) 432-1820 
Future Investment Child Care; Elementary Schools, Preschools, Child Care & Day Care; 0; 0; New Lots; 798 New Jersey Ave, Brooklyn, NY 11207; (718) 927-9693 
Future Prints Childcare; Child Care & Day Care; 0; 0; Washington Heights; 80 Fort Washington Ave, New York, NY 10032; (646) 669-8079 
Gan Chabad Preschool; Preschools; 0; 0; Williamsburg - North Side; 132 N 5th St, Brooklyn, NY 11249; (718) 388-0748 
Gan Yisroel Preschool; null; 0; 0; Borough Park; 1735 52nd St, Brooklyn, NY 11204; (877) 806-7401 
Garden House School of New York; Preschools; 0; 0; Midtown East; 40 Sutton Place Ofc, New York, NY 10022; (646) 840-1090 
Garden of Knowledge Day Care & Learning Center; Preschools, Child Care & Day Care; 0; 0; Flatbush; 1657 Nostrand Ave, Brooklyn, NY 11226; (718) 469-2229 
Gardens Day Care; Child Care & Day Care, Preschools; 4.5 star rating; 2 reviews; Washington Heights; 854 W 180th St, Manhattan, NY 10033; (917) 723-2703 
Gateway Academy; Preschools, Middle Schools & High Schools; 5.0 star rating; 2 reviews; Pleasant Plains; 200 Boscombe Ave, Staten Island, NY 10309; (718) 966-8695 
Gateway Preschool & Kindergarten; Elementary Schools, Middle Schools & High Schools, Religious Organizations; 0; 0; Pleasant Plains; 200 Boscombe Avenue, Staten Island, NY 10309; (718) 966-8577 
Generation 21 Daycare; Child Care & Day Care, Preschools; 5.0 star rating; 2 reviews; Bensonhurst; 6709 19th Ave, Brooklyn, NY 11204; (718) 837-8682 
Gifted and Talented Early Developers (G.A.T.E.D Academy); Preschools; 5.0 star rating; 1 review; Flatbush; 1621 Church Ave., Brooklyn, NY 11226; (718) 693-3699 
Giggle Family Day Care; Preschools, Child Care & Day Care; 4.0 star rating; 2 reviews; Bay Ridge; 475 80th St, Brooklyn, NY 11209; (347) 578-7117 
Gingerkare Preschool; Child Care & Day Care, Education; 0; 0; Arden Heights; 80 Woodrow Rd, Staten Island, NY 10312; (718) 356-0008 
Giocare Playschool; Preschools, Child Care & Day Care; 0; 0; South Slope; 279 18th St, Brooklyn, NY 11215; (347) 827-1372 
Girafas Play & Learn LLC; Preschools, Summer Camps; 0; 0; Fort Greene; 61 S Portland Ave, Brooklyn, NY 11217; (347) 762-1703 
Girl’s Learn International; Elementary Schools, Preschools; 0; 0; Chelsea; 252 7th Ave Apt 3F, New York, NY 10001; (212) 707-8577 
Gold Material Montessori School; Preschools, Summer Camps; 2.5 star rating; 2 reviews; East Village, Alphabet City; 41 Ave B, New York, NY 10009; (212) 677-6711 
Gold Material Montessori School; Preschools; 1.0 star rating; 1 review; Bensonhurst; 105 Kings Hwy, Brooklyn, NY 11214; (718) 253-2552 
Gold Material Montessori School; Preschools; 3.5 star rating; 8 reviews; Kips Bay; 484 2nd Ave, Manhattan, NY 10016; (212) 545-0061 
Good Foundation Preschool; Child Care & Day Care; 0; 0; Jamaica; 19604 Linden Boulevard, Saint Albans, NY 11412; (718) 712-1500 
GoogooGaagaa House Daycare; Child Care & Day Care, Kids Activities, Preschools; 0; 0; Sheepshead Bay, Brighton Beach; 2427 E 13th St, Brooklyn, NY 11235; (347) 703-0601 
Grace Daycare; Preschools; 5.0 star rating; 1 review; East Elmhurst; 89-00 23rd Ave, East Elmhurst, NY 11369; (718) 803-0345 
Grace Lutheran Church; Churches; 5.0 star rating; 2 reviews; Steinway; 3120 21st Ave, Astoria, NY 11105; (718) 728-0093 
Grace Preschool; Preschools; 5.0 star rating; 1 review; East Elmhurst; 8900 23rd Ave, New York, NY 11369; (718) 672-4177 
Graham Windham Day Care Ctr; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Civic Center; 1 Police Plz, New York, NY 10038; (212) 571-2491 
Grandmas Hands Family Day Care; Child Care & Day Care, Nanny Services, Preschools; 0; 0; Chelsea; 415 w. 25 ST #1c 10001, New York, NY 10001; (212) 741-1611 
Grant Day Care Center; Preschools; 0; 0; Harlem; 1299 Amsterdam Ave, New York, NY 10027; (212) 666-6000 
Growing Little Minds; Preschools; 0; 0; East Elmhurst; 22-46 93rd St, East Elmhurst, NY 11369; (917) 327-2917 
Gymboree Play & Music; Preschools; 0; 0; Meatpacking District, Chelsea, West Village; 327 W 14th St, New York, NY 10014; (212) 255-5650 
Gymboree Play & Music; Preschools; 0; 0; Midtown East; 677 Lexington Ave, New York, NY 10022; (212) 838-4301 
Gymboree Play & Music; Preschools; 2.5 star rating; 3 reviews; TriBeCa; 100 Reade St, Manhattan, NY 10013; (212) 566-2795 
Gymboree Play & Music; Preschools; 3.5 star rating; 6 reviews; Bay Terrace; 208-32 Cross Island Pkwy, Bayside, NY 11360; (866) 477-3700 
Gymboree Play & Music; Preschools; 4.0 star rating; 3 reviews; Forest Hills; 108-14 72nd Ave, Queens, NY 11375; (866) 477-3700 
Gymboree Play & Music; Preschools; 4.0 star rating; 3 reviews; Upper West Side; 217 W 84th St, New York, NY 10024; (212) 874-4626 
Gymboree Play & Music; Preschools; 4.0 star rating; 4 reviews; Midtown East, Murray Hill; 235 E 38th St, New York, NY 10016; (212) 867-0250 
Gymboree Play & Music; Preschools; 4.0 star rating; 5 reviews; Bay Terrace; 3295 Amboy Rd, Staten Island, NY 10306; (718) 370-8189 
Gymboree Play & Music; Preschools; 4.0 star rating; 7 reviews; Upper West Side; 240 W 73rd St, New York, NY 10023; (212) 724-2140 
Gymboree Play & Music; Preschools; 5.0 star rating; 1 review; Yorkville, Upper East Side; 401 E 84th St, New York, NY 10028; (212) 452-9814 
Gymboree of Queens; Preschools, Art Schools; 4.0 star rating; 1 review; Forest Hills; 10814 72nd Ave, Forest Hills, NY 11375; (718) 544-8131 
Gymtime Rhythm & Glues; Child Care & Day Care, Preschools, Gymnastics; 1.0 star rating; 1 review; Yorkville, Upper East Side; 1520 York Ave, New York, NY 10028; (212) 861-7732 
Hacker Prep; Preschools; 0; 0; Morningside Heights; 2920 Broadway, New York, NY 10027; (212) 222-9305 
Hands On World; Preschools; 5.0 star rating; 13 reviews; Gowanus, Carroll Gardens; 132 4th Place, Brooklyn, NY 11231; (718) 858-9599 
Happinest Daycare; Preschools; 0; 0; Astoria; 31- 41 37th St, Long Island City, NY 11103; (718) 204-2082 
Happy Day Nursery; Preschools, Elementary Schools, Middle Schools & High Schools; 0; 0; Richmond Hill; 10425 Jamaica Avenue, Richmond Hill, NY 11418; (718) 847-0223 
Happy Days Child Care; Preschools, Child Care & Day Care; 5.0 star rating; 1 review; Astoria; 25-17 36th St, Queens, NY 11103; (718) 278-7808 
Happy Family Day Care; Child Care & Day Care, Preschools; 0; 0; Norwood; 15E E Mosholu Pkwy N Apt Frw, Bronx, NY 10467; (917) 939-7565 
Happy Hearts Daycare; Child Care & Day Care; 0; 0; Bedford Stuyvesant; 584 Quincy St, Brooklyn, NY 11221; (718) 443-4053 
Happy Maryann Day School; Child Care & Day Care, Preschools; 0; 0; Downtown Flushing, Flushing; 132-18 41st Ave, Flushing, NY 11355; (718) 886-8266 
Happy Sun Daycare; Child Care & Day Care; 3.5 star rating; 3 reviews; Washington Heights; 540 W 163rd St, New York, NY 10032; (646) 455-2208 
Happy-Minds Group Family Daycare; Preschools, Child Care & Day Care; 0; 0; Remsen Village; 327 E 93rd St, East Flatbush, NY 11212; (718) 345-3909 
Harlem Children’s Zone-154; Elementary Schools, Preschools; 0; 0; Harlem; 250 W 127th Street, New York, NY 10027; (212) 864-4475 
Harlem Gems Head Start; Preschools; 0; 0; Harlem; 60 W 117th St, Harlem, NY 10026; (212) 369-3577 
Hasina’s Family Daycare; Preschools, Child Care & Day Care; 0; 0; East Tremont; 4278 3rd Ave, West Bronx, NY 10457; (347) 206-0271 
Head Start Day Care; Preschools, Tutoring Centers, Child Care & Day Care; 0; 0; Woodhaven; 9128 84th St, Queens, NY 11421; (347) 441-0510 
Head Start; Preschools, Elementary Schools; 0; 0; Woodside; 6010 Roosevelt Ave, Woodside, NY 11377; (718) 424-5341 
Herbert G Birch Early Childhood Center; Elementary Schools, Preschools, Middle Schools & High Schools; 0; 0; Springfield Gardens; 14502 Farmers Boulevard, Jamaica, NY 11434; (718) 527-5220 
Herbert G Birch Western Queens Early Childhood Center; Elementary Schools, Middle Schools & High Schools, Preschools; 0; 0; Hunters Point, Long Island City; 1024 49th Avenue, Long Island City, NY 11101; (718) 786-1104 
High Hopes; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Woodrow; 1298 Woodrow Rd, Staten Island, NY 10309; (718) 317-8143 
Hola Crayola Bilingual Daycare; Preschools; 5.0 star rating; 1 review; Queens Village; 237-25  93 Ave, Bellerose, NY 11426; (718) 347-6943 
Hola a Playgroup In Spanish; Preschools; 0; 0; Flatiron; 10 W 25th St, New York, NY 10010; (917) 648-5006 
Holy Trinity School; Elementary Schools, Middle Schools & High Schools; 5.0 star rating; 1 review; Malba; 1445 143rd Street, Whitestone, NY 11357; (718) 746-1479 
Home Sweet Home Children’s School; Elementary Schools, Child Care & Day Care, Preschools, Middle Schools & High Schools; 5.0 star rating; 2 reviews; Flushing, Auburndale; 19617 53rd Avenue, Fresh Meadows, NY 11365; (718) 357-9738 
Honey Dew Drop; Preschools, Child Care & Day Care; 4.5 star rating; 4 reviews; Flatbush; 1113 Church Ave, Brooklyn, NY 11218; (877) 614-6639 
Honeydew Little Stars; Preschools; 5.0 star rating; 1 review; Columbia Street Waterfront District; 257 Columbia St, Brooklyn, NY 11231; (718) 855-2548 
Horace Mann High School; Elementary Schools, Preschools, Child Care & Day Care; 0; 0; Fieldston; 231 W 246th Street, Bronx, NY 10471; (718) 543-7421 
Howard Beach Judea Center Preschool; Preschools; 0; 0; Howard Beach; 162-05 90 St, New York, NY 11414; (718) 845-9443 
Huggs Day School; Child Care & Day Care; 4.5 star rating; 3 reviews; Park Slope; 763 President St, Brooklyn, NY 11215; (718) 230-5255 
Huguenot Preschool; Elementary Schools, Preschools; 0; 0; Huguenot; 5475 Amboy Road, Staten Island, NY 10312; (718) 966-4259 
Iken Science Academy; Preschools; 0; 0; Yorkville, Upper East Side; 351 E.74th St, 2nd Fl, New York, NY 10021; (917) 476-3876 
Imagine Early Learning Centers; Child Care & Day Care, Preschools; 0; 0; Brooklyn Heights; 50 Monroe Place, Brooklyn, NY 11201; (718) 624-7520 
Imagine Early Learning Centers; Child Care & Day Care, Preschools; 0; 0; Jamaica; 1 Jamaica Center Plaza, Jamaica, NY 11432; (718) 557-5520 
Imagine Early Learning Centers; Child Care & Day Care, Preschools; 5.0 star rating; 1 review; East Harlem; 60 East 97th Street, New York, NY 10029; (212) 410-2077 
Imagine Early Learning Centers; Preschools, Child Care & Day Care; 0; 0; Kips Bay, Stuyvesant Town; 423 East 23rd Street, New York, NY 10010; (212) 951-3435 
Imagine Early Learning Centers; Preschools, Child Care & Day Care; 5.0 star rating; 1 review; DUMBO; 85 Adams Street, Brooklyn, NY 11201; (718) 522-2263 
Immanuel Genius Educational Center; Preschools, Tutoring Centers; 1.0 star rating; 1 review; Douglaston; 253-01 Northern Blvd, Queens, NY 11377; (718) 877-3001 
Immanuel Genius Educational Center; Preschools, Tutoring Centers; 1.5 star rating; 2 reviews; Flushing, Auburndale; 163-15 Oak Ave, New York, NY 11358; (718) 460-9991 
Included Educational Svcs; Elementary Schools, Preschools; 0; 0; Kew Gardens Hills, Flushing; 14401 68th Dr, Flushing, NY 11367; (718) 263-5437 
Independent Toddlers; Preschools; 0; 0; East Village, Alphabet City; 446 E 13th St, Manhattan, NY 10009; (212) 598-0499 
Ines’s Family DayCare & After School; Preschools; 0; 0; Whitestone; 146-30 15 Ave, Queens, NY 11357; (917) 563-1454 
Infinity Preschool; Preschools, Child Care & Day Care, Summer Camps; 1.0 star rating; 1 review; Marine Park; 1972 E 34th St, Brooklyn, NY 11234; (718) 336-1981 
Inner Force; Preschools; 0; 0; Brownsville, Crown Heights; 1181 East New York Ave, Brooklyn, NY 11212; (718) 221-1246 
International Nursery School & Kindergarten; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Flushing, Auburndale; 17139 Northern Boulevard, Flushing, NY 11358; (718) 353-0932 
Inventor’s Gate Preschool; Preschools; 5.0 star rating; 1 review; Upper West Side; 160 West 82nd St, New York, NY 10024; (212) 787-8200 
Inwood Kids Daycare; Child Care & Day Care, Preschools; 0; 0; Inwood; 5000 Broadway, New York, NY 10034; (212) 569-7692 
Ira’s Parkway Daycare and Preschool; null; 0; 0; Briarwood; 14120 Grand Central Pkwy, Jamaica, NY 11435; (718) 526-1803 
Itty Bitty Adventures Preschool & Childcare; Preschools; 5.0 star rating; 2 reviews; Marine Park; 3416 Ave S, Brooklyn, NY 11234; (718) 375-4700 
Ivy League Early Learning Academy of Bayside; Preschools, Child Care & Day Care; 5.0 star rating; 1 review; Oakland Gardens; 61-58 Springfield Blvd, Bayside, NY 11364; (718) 352-8972 
Ivy League Early Learning Academy; Preschools, Child Care & Day Care; 3.0 star rating; 10 reviews; Flatiron; 776 Avenue of the Americas, New York, NY 10001; (212) 683-5545 
J C P Jewish Community Project; Adult Education, Preschools; 0; 0; TriBeCa; 146 Duane St, New York, NY 10013; (212) 334-3522 
J J Academy; Elementary Schools, Preschools, Child Care & Day Care; 0; 0; Westerleigh; 55 Wyona Ave, Staten Island, NY 10314; (718) 698-0280 
JEI Learning Center Auburndale-Whitestone; Preschools, Tutoring Centers, Educational Services; 5.0 star rating; 2 reviews; Bayside; 200-13 32nd Ave, Bayside, NY 11361; (347) 408-4098 
JHS 231; Elementary Schools, Preschools; 0; 0; Springfield Gardens; 14500 Springfield Blvd, Springfield Gardens, NY 11413; (718) 712-9283 
Jack & Jill Nursery Schools; Child Care & Day Care, Preschools, Elementary Schools; 0; 0; Flushing, Utopia; 6805 Fresh Meadow Lane, Fresh Meadows, NY 11365; (718) 939-8687 
Jack & Jill Nursery Schools; Child Care & Day Care, Preschools, Elementary Schools; 1.0 star rating; 1 review; Downtown Flushing, Flushing; 4323 Colden St, Flushing, NY 11355; (718) 762-1218 
Jackson Heights Early Learning Center Annex; Preschools; 5.0 star rating; 1 review; Jackson Heights; 33-50 82nd Street, Queens, NY 11372; (718) 779-5437 
Jackson Heights Early Learning Center; Preschools; 5.0 star rating; 2 reviews; Jackson Heights; 3350 82nd St, Jackson Heights, NY 11372; (718) 779-5437 
Jamie’s Family Day Care; Child Care & Day Care; 2.5 star rating; 4 reviews; Forest Hills; 75-10 Grand Central Pkwy, Forest Hills, NY 11375; (718) 268-5922 
Jewish Educational Center; Elementary Schools, Preschools, Middle Schools & High Schools, Child Care & Day Care; 0; 0; Forest Hills; 10235 63rd Rd, Forest Hills, NY 11375; (718) 896-4444 
Jewish Foundation School Early Learning Center; Elementary Schools, Preschools; 0; 0; Castleton Corners; 835 Forest Hill Road, Staten Island, NY 10314; (718) 494-7477 
Jewish Preschool; Preschools; 0; 0; Upper East Side; 402 E 68 St, Manhattan, NY 10065; (866) 305-0545 
Joan Fenichel Therapeutic Nursery; Special Education, Preschools; 0; 0; DUMBO; 30 Washington St, Brooklyn, NY 11201; (718) 643-5300 
John Oravecz Early Childhood Development Center; Preschools; 5.0 star rating; 1 review; Greenpoint; 176 Java St, Greenpoint, NY 11222; (347) 689-4290 
Jonah’s Ark Pre-School/Day Care; Preschools; 0; 0; Westerleigh; 21 Dongan Ave, Staten Island, NY 10314; (718) 477-2936 
Joy McCormack’s All Day Nursery; Child Care & Day Care, Preschools, Elementary Schools; 0; 0; Battery Park; 215 S End Ave, New York, NY 10280; (212) 945-0088 
Just We Two; Preschools; 5.0 star rating; 1 review; Brooklyn Heights; 111 Remsen St, Brooklyn Heights, NY 11201; (800) 404-2204 
Just Wee Two; Preschools, Child Care & Day Care; 5.0 star rating; 1 review; Brooklyn Heights; 111 Remsen St, Brooklyn Heights, NY 11201; (516) 433-0003 
Kamaja Multicultural Day Care Ctr; Elementary Schools, Preschools; 0; 0; Springfield Gardens; 14018 Rockaway Boulevard, Jamaica, NY 11436; (718) 659-8098 
Kaminer Joel; Preschools, Child Care & Day Care; 0; 0; Windsor Terrace; 1268 Prospect Ave, Brooklyn, NY 11218; (718) 633-5704 
Katrina’s Family Day Care; Preschools; 0; 0; Cambria Heights; 115-97 227th St, Queens, NY 11411; (917) 698-7603 
Kay’s Playschool; Child Care & Day Care, Preschools; 0; 0; Bedford Stuyvesant, Clinton Hill; 333 Greene Ave, Bedford-Stuyvesant, NY 11238; (646) 851-3339 
Kiddee Korna Daycare; Preschools; 0; 0; Woodlawn; 631 E 235th St, New York, NY 10466; (718) 881-2038 
Kiddie Academy of Flushing; Child Care & Day Care, Preschools, Summer Camps; 1.5 star rating; 2 reviews; Flushing, Murray Hill; 33-25 Parsons Boulevard, Flushing, NY 11354; (718) 888-9499 
Kiddie Academy of Little Neck; Child Care & Day Care, Preschools, Summer Camps; 4.5 star rating; 6 reviews; Douglaston; 252-20 Northern Boulevard, Little Neck, NY 11362; (718) 229-2829 
Kiddie Academy of Staten Island - Great Kills; Child Care & Day Care, Preschools; 0; 0; Great Kills; 125 Greaves Lane, Staten Island, NY 10308; (718) 984-1919 
Kiddie Academy of Whitestone; Child Care & Day Care, Preschools, Summer Camps; 3.0 star rating; 4 reviews; Beechurst; 705 152nd Street, Whitestone, NY 11357; (718) 747-5555 
