 Dental Aquaro PC; General Dentistry; 0; 0; Elmhurst; 9603 Roosevelt Avenue, Corona, NY 11368; (718) 396-9711 
Center For Women’s Reproductive Care At Columbia University; Obstetricians & Gynecologists; 2.0 star rating; 25 reviews; Midtown West; 1790 Broadway, New York, NY 10019; (646) 756-8282 
Center Medical ; Doctors; 0; 0; Chinatown, Civic Center; 8 Chatham Sq, New York, NY 10038; (212) 227-3994 
Center for Cpmprehensive Care - Morningside Park; Internal Medicine; 0; 0; Morningside Heights; 390 W 114th St, New York, NY 10025; (212) 523-6500 
Central Brooklyn Dialysis Center; Dialysis Clinics; 0; 0; Crown Heights; 818 Sterling Pl, Brooklyn, NY 11216; (718) 735-6660 
Central Park Dental Spa; General Dentistry; 3.5 star rating; 19 reviews; Midtown West; 30 Central Park South, New York, NY 10019; (212) 753-1119 
Central Park Physical Therapy; Physical Therapy; 4.5 star rating; 11 reviews; Midtown West; 1727 Broadway, New York, NY 10019; (212) 765-4800 
Central Park Plastic Surgery; Cosmetic Surgeons; 0; 0; Upper West Side; 75 Central Park W, Manhattan, NY 10023; (212) 496-6600 
Central Park S Dental Care; Cosmetic Dentists; 5.0 star rating; 2 reviews; Midtown West; 200 Central Park S, New York, NY 10019; (917) 310-4834 
Central Park Urology; Urologists; 4.0 star rating; 17 reviews; Hell's Kitchen, Midtown West; 330 W 58th St, New York, NY 10019; (929) 256-5166 
Central Park West Dental Studio; General Dentistry, Cosmetic Dentists, Endodontists, Oral Surgeons; 3.0 star rating; 11 reviews; Upper West Side; 350 Central Park W, New York, NY 10025; (212) 678-1144 
Central Park West Dentistry; General Dentistry, Cosmetic Dentists, Periodontists; 4.5 star rating; 48 reviews; Upper West Side; 25 W 68th St, New York, NY 10023; (866) 815-3413 
Centro Medico De Las Americas; Medical Centers; 3.5 star rating; 2 reviews; Jackson Heights; 9033 Elmhurst Ave, Jackson Heights, NY 11372; (718) 457-7000 
Centro Medico Dominicano; Doctors; 1.0 star rating; 1 review; Washington Heights; 629 W 185th St, New York, NY 10033; (212) 928-3900 
Chan Jeffrey Acupuncture ; Acupuncture; 0; 0; Chinatown; 39 E Broadway, New York, NY 10002; (212) 233-0889 
Chanda Kale, DDS; General Dentistry, Orthodontists; 5.0 star rating; 4 reviews; Sunset Park; 414 54th St, Brooklyn, NY 11220; (718) 439-8121 
Chang S Daniel DDS; General Dentistry; 5.0 star rating; 1 review; Midtown East; 317 Madison Avenue, New York, NY 10017; (212) 818-0322 
Changing Health, Inc; Acupuncture; 0; 0; Flatiron; 1201 Broadway, Manhattan, NY 10001; (646) 633-4668 
Charles B Wang - Community Health Center; Home Health Care; 4.5 star rating; 6 reviews; Downtown Flushing, Flushing; 13626 37th Ave, Flushing, NY 11354; (718) 886-1200 
Charles B Wang Community Health Center; Medical Centers; 2.5 star rating; 14 reviews; Chinatown; 268 Canal St, New York, NY 10013; (212) 379-6988 
Charles B. Wang Community Health Center; Medical Centers; 3.5 star rating; 9 reviews; Chinatown; 125 Walker Street, New York, NY 10013;  
Charles Berk, MD; Internal Medicine, Family Practice; 4.0 star rating; 26 reviews; Brooklyn Heights; 185 Montague St, Brooklyn, NY 11201; (718) 624-6185 
Charles C Kwak, MD; Dermatologists; 5.0 star rating; 1 review; Hell's Kitchen, Midtown West; 415 W 57th St, New York, NY 10019; (212) 459-9100 
Charles Keith, Psy.D.; Psychologists; 5.0 star rating; 1 review; Bayside; 214-26 41st Ave, Bayside, NY 11361; (718) 468-7510 
Charles Paolino, MD; Internal Medicine; 4.0 star rating; 26 reviews; Meatpacking District, West Village; 314 W 14th St, New York, NY 10014; (646) 638-4000 
Chat 2 Recovery; Rehabilitation Center, Counseling & Mental Health; 0; 0; Flatiron; 51 E 25th St, Manhattan, NY 10010; (855) 436-6781 
Chavi Shapiro, MD; Obstetricians & Gynecologists, Internal Medicine; 2.0 star rating; 7 reviews; Park Slope; 263 7th Ave, Ste 3A, Brooklyn, NY 11215; (718) 246-8500 
Chelsea Dental Arts; General Dentistry; 5.0 star rating; 17 reviews; Chelsea; 363 West 23rd Street, New York, NY 10011; (212) 206-9977 
Chelsea Eye & Cosmetic Surgery Associates; Ophthalmologists, Cosmetic Surgeons, Laser Eye Surgery/Lasik; 4.0 star rating; 105 reviews; Chelsea; 157 W 19th St, New York, NY 10011; (212) 727-3717 
Chelsea Face And Body; Skin Care, Medical Spas, Laser Hair Removal; 4.0 star rating; 25 reviews; Chelsea; 270 W 19th St, New York, NY 10011; (212) 647-8825 
Chelsea Health Center; Medical Centers; 3.5 star rating; 7 reviews; Chelsea; 303 9th Ave, Manhattan, NY 10001;  
Chelsea Psychotherapy; Counseling & Mental Health; 0; 0; Chelsea; New York, NY 10011; (212) 242-2334 
Chelsea Skin and Laser; Skin Care, Dermatologists, Cosmetic Surgeons; 4.5 star rating; 59 reviews; Chelsea; 245 W 19th St, New York, NY 10011; (212) 675-0549 
Chelsea Village Medical Office; Sports Medicine; 4.5 star rating; 4 reviews; Meatpacking District, West Village; 314 W 14th St, New York, NY 10014; (212) 929-9009 
Chen Austin, MD; Obstetricians & Gynecologists; 3.5 star rating; 17 reviews; TriBeCa; 145 Chambers St, New York, NY 10007; (212) 227-2294 
Chen Ying Jen Eugene Dental ; General Dentistry; 0; 0; Downtown Flushing, Flushing; 13917 Franklin Ave, Flushing, NY 11355; (718) 358-7575 
Cheryl Gerson, LCSW; Counseling & Mental Health; 5.0 star rating; 2 reviews; Flatiron; 286 Fifth Ave, Manhattan, NY 10001; (212) 243-4122 
Chien’s Acupuncture & Wellness Center; Acupuncture, Massage; 0; 0; Midtown East, Murray Hill; 567 3rd Ave, New York, NY 10016; (646) 391-9827 
Child Bearing Center of Morris Heights Health; Medical Centers; 1.0 star rating; 2 reviews; Morris Heights; 85 W Burnside Ave, Bronx, NY 10453; (718) 299-3494 
Children’s Dental Care Building; Medical Centers; 4.0 star rating; 1 review; East Williamsburg, South Williamsburg; 718 Broadway, Brooklyn, NY 11206; (718) 387-1365 
Children’s Safety Programs; Cannabis Clinics, Florists; 0; 0; Chelsea; 234 W 22nd St, New York, NY 10011; (212) 627-2332 
Chin  Clinic  MD; Doctors; 0; 0; Chinatown; 68 Bayard Street, New York, NY 10013; (212) 219-9175 
China Town Foot ; null; 0; 0; Chinatown, Civic Center; 7 Chatham Sq, New York, NY 10038; (212) 513-7755 
Chinatown Dialysis Center; Dialysis Clinics; 0; 0; Little Italy; 202 Centre St, New York, NY 10013; (212) 925-0404 
Chinatown Health ; null; 1.0 star rating; 1 review; Chinatown; 125 Walker Street Fl 2, New York, NY 10013; (212) 226-8866 
Chinese Natural Health Care ; Acupuncture; 0; 0; Rego Park; 6307 Dieterle Cres, Rego Park, NY 11374; (718) 897-8952 
Chinese Traditional Medical ; null; 0; 0; Chinatown; 20 E Broadway, New York, NY 10002; (212) 925-8550 
Chiromed  Clinic  Assoc; Chiropractors; 0; 0; Theater District, Midtown West; 825 7th Ave, New York, NY 10019; (212) 956-5920 
Chloe Carmichael, PhD; Counseling & Mental Health; 5.0 star rating; 1 review; Midtown East; 230 Park Avenue, 10th Floor, New York, NY 10169; (212) 729-3922 
Choices Women’s Medical Center; Obstetricians & Gynecologists, Midwives, Medical Centers; 3.5 star rating; 5 reviews; Jamaica; 147-32 Jamaica Ave, Jamaica, NY 11435; (718) 786-5000 
Choices Women’s Medical Ctr; null; 1.0 star rating; 1 review; Long Island City; 2928 41st Avenue, Long Island City, NY 11101; (718) 391-0631 
Christian Chung, DDS; Cosmetic Dentists; 5.0 star rating; 53 reviews; Midtown West; 200 W 57th St, New York, NY 10019; (212) 757-9227 
Christodoulidou Florentia, MD; Doctors; 3.0 star rating; 6 reviews; Astoria; 2747 Crescent St, Astoria, NY 11102; (718) 932-3100 
Christoforatos Spiro DDS; General Dentistry; 3.5 star rating; 3 reviews; Astoria; 3179 30th Str, Astoria, NY 11106; (718) 274-2603 
Christopher D Amato, Psy D MPA; Psychologists; 0; 0; Midtown East; 280 Madison Ave, New York, NY 10016; (917) 225-8381 
Chu King Lee, MD; Family Practice; 2.0 star rating; 4 reviews; Forest Hills; 11045 Queens Blvd, Forest Hills, NY 11375; (718) 268-8339 
Ciel Acupuncture; Acupuncture; 5.0 star rating; 1 review; Greenwich Village; Washington Pl, New York, NY 10012; (631) 988-4971 
City Acupuncture of New York; Acupuncture; 4.0 star rating; 66 reviews; Financial District; 139 Fulton St, New York, NY 10038; (212) 513-0437 
City Dental ; General Dentistry; 0; 0; Ozone Park; 12508 Liberty Avenue, South Richmond Hill, NY 11419; (718) 738-1288 
City Dental PC; General Dentistry; 2.0 star rating; 13 reviews; Financial District; 11 Broadway, New York, NY 10004; (646) 741-6726 
City Dialysis Center; Dialysis Clinics; 0; 0; East Harlem; 105 E 106th Street, New York, NY 10029; (212) 348-6637 
City Sports Medicine; Physical Therapy, Sports Medicine; 5.0 star rating; 4 reviews; Flatiron; 28 W 27th St, New York, NY 10001; (212) 684-1500 
City Wide Health Facility; Chiropractors, Physical Therapy, Medical Centers; 5.0 star rating; 1 review; Gravesend, Bensonhurst; 201 Kings Hwy, Brooklyn, NY 11223; (718) 621-1181 
CityMD - Astoria; Doctors, Urgent Care; 4.0 star rating; 60 reviews; Astoria; 31-11 Steinway Street, Astoria, NY 11103; (718) 475-2345 
CityMD - Bay Ridge; Urgent Care, Doctors; 4.0 star rating; 16 reviews; Fort Hamilton, Bay Ridge; 8712 4th Avenue, Brooklyn, NY 11209; (718) 530-1155 
CityMD - Boerum Hill; Doctors, Urgent Care; 4.0 star rating; 49 reviews; Boerum Hill; 457 Atlantic Avenue, New York, NY 11217; (718) 530-1144 
CityMD - E37th Street; Urgent Care, Doctors; 4.0 star rating; 41 reviews; Midtown East, Murray Hill; 561 3rd Avenue, New York, NY 10016; (212) 729-4668 
CityMD - E67th St; Doctors, Urgent Care, Medical Centers; 4.0 star rating; 65 reviews; Upper East Side; 1150 3rd Ave, New York, NY 10065; (212) 933-0007 
CityMD - East 86th Street; Urgent Care, Medical Centers, Family Practice; 4.5 star rating; 174 reviews; Yorkville, Upper East Side; 336 East 86th St, New York, NY 10028; (212) 772-3627 
CityMD - Forest Hills; Urgent Care; 3.0 star rating; 27 reviews; Forest Hills; 70-49 Austin Street, Forest Hills, NY 11791; (718) 280-1245 
CityMD - Maspeth; Medical Centers, Urgent Care, Doctors; 3.5 star rating; 27 reviews; Maspeth; 74-25 Grand Ave, Queens, NY 11373; (718) 803-2273 
CityMD - Park Slope; Urgent Care, Doctors; 4.0 star rating; 170 reviews; Park Slope; 418-420 5th Avenue, Brooklyn, NY 11215; (718) 965-2273 
CityMD - W14th Street; Doctors, Urgent Care; 4.5 star rating; 116 reviews; Greenwich Village; 14 West 14th St, New York, NY 10011; (212) 390-0558 
CityMD - W57th Street; Doctors, Urgent Care; 4.5 star rating; 130 reviews; Hell's Kitchen, Midtown West; 315 West 57th St, New York, NY 10019; (212) 315-2330 
CityMD - W88th Street; Doctors, Urgent Care; 4.0 star rating; 151 reviews; Upper West Side; 2398 Broadway, New York, NY 10024; (212) 721-2111 
CityMD - West 23rd Street; Urgent Care; 4.0 star rating; 174 reviews; Flatiron; 37 W 23rd St, New York, NY 10010; (646) 596-9267 
CityMD - Williamsburg; Doctors, Urgent Care, Medical Centers; 4.0 star rating; 30 reviews; Williamsburg - North Side; 154 N 7th St, Williamsburg, NY 11249; (718) 414-2013 
CityTouch Licensed Massage Therapy; Massage, Massage Therapy, Reflexology; 5.0 star rating; 44 reviews; Chelsea; 242 W 27th St, New York, NY 10001; (917) 562-2285 
Cityscape OBGYN, PLLC; Obstetricians & Gynecologists; 2.0 star rating; 66 reviews; Midtown East, Murray Hill; 38 E 32nd St, New York, NY 10016; (212) 683-3595 
Claire Fitzpatrick; Chiropractors, Nutritionists; 5.0 star rating; 2 reviews; Midtown East, Murray Hill; 280 Madison Ave., New York, NY 10016; (646) 657-3737 
Clarity Hypnosis FNA - Greenwich Village Hypnosis; Counseling & Mental Health, Hypnosis/Hypnotherapy; 5.0 star rating; 3 reviews; Greenwich Village; 24 W 9th St, New York, NY 10003; (212) 365-4775 
Clear ; Dermatologists; 4.0 star rating; 20 reviews; Flatiron; 21 W 19th St, New York, NY 10011; (212) 828-3000 
Clear ; Dermatologists; 4.0 star rating; 7 reviews; Midtown East; 110 E 55th St, Manhattan, NY 10022; (212) 828-3000 
Clear ; Medical Spas, Skin Care, Dermatologists; 0; 0; Midtown West; 225 W 35th St, New York, NY 10018; (800) 342-5327 
Clear ; Medical Spas, Skin Care, Dermatologists; 0; 0; Upper East Side; 153 E 88th St, Manhattan, NY 10128; (800) 342-5327 
Clear ; Skin Care, Dermatologists; 0; 0; Financial District; 65 Broadway, New York, NY 10006; (212) 828-3000 
Clear View Medical Eye ; Optometrists, Ophthalmologists; 0; 0; Brighton Beach; 176 Brighton 11th St, Brooklyn, NY 11235; (718) 484-8410 
Cliff S. Blumstein; Obstetricians & Gynecologists; 0; 0; Sheepshead Bay, Brighton Beach; 2632 E 14th St, Brooklyn, NY 11235; (718) 375-2100 
Clifford S. Melnick, DMD - Fifth Avenue Periodontics; Periodontists, General Dentistry; 4.0 star rating; 8 reviews; Theater District, Hell's Kitchen, Midtown West; 41 West 58th Street, New York, NY 10019; (212) 355-1266 
Clinilabs; Medical Centers; 2.0 star rating; 5 reviews; Hell's Kitchen, Midtown West; 423 W 55th St, New York, NY 10019; (646) 215-6400 
Clinton Lee Physical Therapy, LLC; Physical Therapy, Trainers; 5.0 star rating; 4 reviews; Chinatown, TriBeCa; 395 Broadway, Manhattan, NY 10013; (917) 816-6412 
Clove Road Cognitive Therapy; Counseling & Mental Health; 0; 0; West Brighton; 83 Hartford Ave, Staten Island, NY 10310; (917) 567-7034 
Clutch Physical Therapy; Physical Therapy; 5.0 star rating; 3 reviews; Yorkville, Upper East Side; 244 E 84th St, New York, NY 10028; (212) 203-6802 
Co-Op City Dialysis Center; Dialysis Clinics; 0; 0; Eastchester; 4026 Boston Rd, Bronx, NY 10475; (718) 862-9245 
Coady Deborah MD; Doctors; 5.0 star rating; 1 review; South Village; 430 W Broadway, New York, NY 10012; (212) 941-0011 
Cohen Frank S MD; Doctors, Medical Supplies, Medical Centers; 5.0 star rating; 3 reviews; Upper East Side; 212 E 70th St, New York, NY 10021; (212) 472-2772 
Cohen Rory S Dr; Podiatrists; 4.0 star rating; 5 reviews; Downtown Brooklyn; 422 Fulton St, Brooklyn, NY 11201; (718) 797-3668 
Cohen’s Fashion Optical; Optometrists, Eyewear & Opticians; 1.5 star rating; 48 reviews; Midtown East, Murray Hill; 50 E 42nd St., New York, NY 10017; (212) 697-1838 
College Point Dialysis Center; Dialysis Clinics; 0; 0; College Point, Flushing; 2314 College Point Blvd, College Point, NY 11356; (718) 762-3330 
Columbia Acupuncture, PC; Acupuncture, Massage, Weight Loss Centers; 4.5 star rating; 15 reviews; Washington Heights; 251 Ft Washington Ave, Manhattan, NY 10032; (212) 927-8039 
Columbia Dental Services; Cosmetic Dentists, Endodontists; 1.0 star rating; 1 review; Washington Heights; 563 W 169th St, New York, NY 10032; (212) 923-3375 
Columbia Ob/Gyn Uptown; Health & Medical; 3.0 star rating; 4 reviews; Washington Heights; 161 Fort Washington Ave, New York, NY 10032; (212) 305-5515 
Columbia Student Health Services; Medical Centers; 3.0 star rating; 2 reviews; Morningside Heights; 519 W 114th St, New York, NY 10025; (212) 854-7426 
Columbia University Dental Associates; General Dentistry; 2.0 star rating; 30 reviews; Morningside Heights; 430 W 116th St, New York, NY 10027; (212) 662-4887 
ColumbiaDoctors; Medical Centers; 2.5 star rating; 7 reviews; Midtown West; 51 West 51st St, New York, NY 10019; (212) 326-8500 
CommuniKids New York; Occupational Therapy, Speech Therapists; 0; 0; Upper West Side; 164 W 79th St, New York, NY 10024; (212) 712-2014 
Community  Clinic  Labs; null; 0; 0; Ridgewood; 6911 Forest Ave, Ridgewood, NY 11385; (718) 628-0617 
Community Healthcare Network; Medical Centers; 2.0 star rating; 6 reviews; Lower East Side; 150 Essex St, New York, NY 10002; (212) 477-1120 
Community Healthcare Network; Medical Centers; 5.0 star rating; 1 review; Washington Heights; 1996 Amsterdam Ave, New York, NY 10032; (212) 781-7979 
Community League Health  Clinic  Cfpc; null; 0; 0; Washington Heights; 1996 Amsterdam Ave, New York, NY 10032; (212) 781-7979 
Community Physical Therapy; Physical Therapy, Sports Medicine, Massage Therapy; 4.5 star rating; 2 reviews; Forest Hills; 96-14 B Metropolitan Ave, Forest Hills, NY 11375; (718) 424-9531 
Community Physical Therapy; Physical Therapy, Sports Medicine; 5.0 star rating; 2 reviews; Flatbush; 1818 Newkirk Ave., Brooklyn, NY 11226; (718) 859-2626 
Community Speech Language and Learning Center; Speech Therapists; 0; 0; Midtown East, Murray Hill; 123 E 37th St, New York, NY 10016; (212) 725-4167 
Compass Nutrition; Nutritionists; 5.0 star rating; 6 reviews; Financial District; 22 Cortlandt St, New York, NY 10007; (212) 419-0399 
Complete Acupuncture Wellness; Acupuncture, Traditional Chinese Medicine, Naturopathic/Holistic; 0; 0; Bath Beach, Bensonhurst; 8 Bay 35th St, Brooklyn, NY 11214; (718) 265-6919 
Complete Dental Care; Orthodontists, Cosmetic Dentists, General Dentistry; 5.0 star rating; 1 review; Marine Park; 4205 Ave P, New York, NY 11234; (718) 338-5700 
Complete Medical; Physical Therapy, Cardiologists, Podiatrists; 0; 0; Briarwood; 138-78 Queens Blvd, Queens, NY 11435; (718) 850-6345 
Complete Orthopedic Services Inc.; Prosthetics, Orthotics; 0; 0; Belmont; 625 E Fordham Rd, West Bronx, NY 10458; (718) 484-9900 
Complete Orthopedic Services; Orthotics, Prosthetics; 0; 0; Queensborough Hill, Flushing; 57-13 Main St, Flushing, NY 11355; (718) 321-0407 
Complete Wellness NYC; Chiropractors, Physical Therapy, Medical Centers; 3.5 star rating; 41 reviews; Upper East Side; 30 E 60th St Suite 302, New York, NY 10022; (646) 883-1489 
Comprehensive Care Center - Columbus Circle; Internal Medicine; 0; 0; Hell's Kitchen, Midtown West; 1000 10th Ave, New York, NY 10019; (212) 523-6500 
Comprehensive East Side Medical Practice; Chiropractors; 1.0 star rating; 1 review; Upper East Side; 331 E 71st St, New York, NY 10021; (212) 639-1971 
Comprehensive Pediatrics; Doctors; 3.0 star rating; 4 reviews; Bensonhurst; 1407 W 6th St, Brooklyn, NY 11204; (718) 331-5200 
Comuni Acupuncture; Acupuncture, Traditional Chinese Medicine, Nutritionists; 4.5 star rating; 33 reviews; Jackson Heights; 37-49 91st St, Jackson Heights, NY 11372; (718) 775-8990 
Concerned Dental Care Bronx; General Dentistry, Pediatric Dentists, Cosmetic Dentists; 3.5 star rating; 7 reviews; Norwood; 55 E Mosholu Pkwy N, Bronx, NY 10467; (718) 652-7370 
Concerned Dental Care; General Dentistry, Endodontists, Periodontists; 2.5 star rating; 31 reviews; Midtown East, Murray Hill; 30 E 40th St, New York, NY 10016; (212) 696-4979 
Concorde Medical Group; Medical Centers; 3.5 star rating; 25 reviews; Midtown East, Murray Hill; 38 E 32nd St, New York, NY 10016; (212) 725-2660 
Coney Island Dialysis Center; Dialysis Clinics; 0; 0; Brighton Beach; 26 Brighton 11th St, Brooklyn, NY 11235; (718) 743-5955 
Coney Island Hospital; Hospitals; 2.0 star rating; 28 reviews; Gravesend, Brighton Beach; 2601 Ocean Parkway, Brooklyn, NY 11235; (718) 616-3000 
Connolly J Thomas, DDS; Periodontists; 5.0 star rating; 1 review; Upper East Side; 654 Madison Ave, Ste 1005, New York, NY 10065; (212) 888-7477 
Continuum Cancer Centers; Hospitals; 0; 0; Meatpacking District, Chelsea; 325 W 15th St, New York, NY 10011; (877) 226-2376 
Cooper Eye Care; Optometrists; 4.5 star rating; 29 reviews; Upper East Side; 539 Park Ave, New York, NY 10021; (212) 758-0772 
Core Focus Physical Therapy; Physical Therapy, Sports Medicine; 5.0 star rating; 5 reviews; Midtown East; 424 Madison Avenue, New York, NY 10017; (347) 201-5490 
Corinne Novella, LCSW; Counseling & Mental Health; 0; 0; Flatiron; 900 Broadway, New York, NY 10003; (718) 395-9939 
Corinthian Physical Therapy; Physical Therapy, Pilates, Acupuncture; 5.0 star rating; 3 reviews; Midtown East, Murray Hill; 124 E 40th St, New York, NY 10016; (212) 986-4161 
Cornerstone Healing; Acupuncture; 4.5 star rating; 24 reviews; Carroll Gardens; 476 Court St, Brooklyn, NY 11231; (718) 254-4075 
Cortelyou Road Pediatrics; Pediatricians; 2.5 star rating; 8 reviews; Flatbush; 1103 Cortelyou Rd, New York, NY 11218; (718) 282-0170 
Cosmetic & Vascular Suite NYC; Tattoo Removal, Medical Spas, Laser Hair Removal; 3.0 star rating; 2 reviews; Midtown West; 200 W 57th St, Suite 407, New York, NY 10019; (212) 246-2063 
Cosmetic Dentistry Center NYC; Cosmetic Dentists, General Dentistry; 0; 0; Flatiron; 381 Park Ave S, New York, NY 10016; (212) 829-1515 
Cosmopolitan Eyecare; Optometrists; 4.0 star rating; 9 reviews; Midtown West; 1166 Ave of the Americas, New York, NY 10036; (212) 302-4889 
Couples Therapy New York; Counseling & Mental Health; 0; 0; Stuyvesant Town; 6 Peter Cooper Rd, New York, NY 10010; (212) 228-2560 
Craig Foster, MD, FACS, PC; Cosmetic Surgeons, Ear Nose & Throat; 3.0 star rating; 4 reviews; Upper East Side; 850 Park Ave, New York, NY 10075; (212) 744-5746 
Crescent Physical Therapy PC; Physical Therapy, Rehabilitation Center, Massage Therapy; 4.0 star rating; 10 reviews; Astoria; 21-24 30th Ave, Astoria, NY 11102; (718) 545-0999 
Cross Bay Foot Care Center - Dr. Debra Weinstock; Podiatrists; 5.0 star rating; 1 review; Lindenwood; 157-02 Crossbay Boulevard, Howard Beach, NY 11414; (718) 835-0100 
Cross  Bay Physical Medicine & Rehabilitation P.C.; Physical Therapy; 0; 0; Lindenwood; 157-02 Crossbay Blvd, Howard Beach, NY 11414; (718) 835-0754 
Cui Jian MD, PC; Dermatologists; 1.0 star rating; 8 reviews; Chinatown; 185 Canal St, New York, NY 10013; (212) 233-3441 
Cui Jian, MD PC; Dermatologists; 1.0 star rating; 6 reviews; Downtown Flushing, Flushing; 13620 38th Ave, Flushing, NY 11354; (718) 661-9554 
Cure Urgent Care; Urgent Care; 5.0 star rating; 3 reviews; Yorkville, Upper East Side; 175 E 96th St, New York, NY 10128; (929) 273-2411 
Cure Urgent Care; Urgent Care; 5.0 star rating; 55 reviews; Manhattan Valley; 2689 Broadway, New York, NY 10025; (929) 279-4988 
Cynergy Physical Therapy Grand Central; Sports Medicine, Orthopedists; 5.0 star rating; 3 reviews; Midtown East, Murray Hill; 315 Madison Ave., New York, NY 10017; (212) 203-4724 
Cynergy Physical Therapy, P.C.; Sports Medicine, Orthopedists; 5.0 star rating; 21 reviews; Midtown West; 145 West 57th St.,, New York, NY 10019; (212) 974-7252 
Cynthia J MacKay, MD; Ophthalmologists; 3.0 star rating; 5 reviews; Upper West Side; 315 Central Park W, New York, NY 10025; (212) 772-6050 
D & D Periodontal Associates, PC; Periodontists, General Dentistry; 3.5 star rating; 5 reviews; Midtown East; 630 5th Ave, New York, NY 10111; (212) 759-7763 
D D ; null; 0; 0; Melrose; 732 Melrose Avenue, Bronx, NY 10455; (718) 292-3772 
D&D Podiatry; Podiatrists; 5.0 star rating; 9 reviews; Astoria; 23-18 Broadway, Astoria, NY 11106; (718) 545-0205 
DC Optics; Eyewear & Opticians, Optometrists; 5.0 star rating; 62 reviews; Fort Greene; 390 Myrtle Ave, Brooklyn, NY 11205; (347) 504-1121 
DCI Narrows Kidney Center; Dialysis Clinics; 0; 0; Dyker Heights; 6520 Fort Hamilton Pkwy, Dyker Heights, NY 11219; (718) 836-8444 
DOCS; Medical Centers; 2.5 star rating; 3 reviews; Pelham Bay; 3251 Westchester Ave, Bronx, NY 10461; (718) 792-7600 
DOHMH Corona IDNYC Center; Public Services & Government; 3.0 star rating; 1 review; North Corona; 34-33 Junction Blvd Lower Level, Queens, NY 11372; (718) 476-7101 
DR Walk In; Medical Centers; 3.5 star rating; 10 reviews; Union Square, East Village, Greenwich Village; 52 E 14 St, Manhattan, NY 10003; (888) 535-6963 
Dan Bowers, MD; Doctors; 5.0 star rating; 2 reviews; Midtown East; 110 East 55th Street, New York, NY 10022; (212) 421-2864 
Dana Crawford; Counseling & Mental Health; 0; 0; Upper West Side, Manhattan Valley; 323 W 96th St, New York, NY 10025; (347) 815-4569 
Danada ; Skin Care, Medical Spas; 3.5 star rating; 2 reviews; Flushing, Murray Hill; 157-02 Northern Blvd, Queens, NY 11354; (917) 563-1003 
Daniel Cohen M.D.; Counseling & Mental Health, Psychiatrists, Life Coach; 0; 0; Midtown East; 115 East 57th Street, New York, NY 10022; (212) 579-2852 
Daniel J Gattegno, DMD; General Dentistry, Oral Surgeons, Cosmetic Dentists; 3.5 star rating; 22 reviews; Upper West Side; 173 W 81 St, New York, NY 10024; (212) 724-2195 
Daniel J. Alpert, M.D., PLLC; Doctors; 4.0 star rating; 4 reviews; Midtown East, Murray Hill; 345 E 37th Street, New York, NY 10016; (212) 599-7910 
Daniel Yi, LAc; Acupuncture, Chiropractors; 5.0 star rating; 24 reviews; Midtown East, Murray Hill; 800 2nd Ave, Ste 806, New York, NY 10017; (212) 370-7800 
Danielle DiMonda, LCSW; Life Coach, Counseling & Mental Health; 0; 0; Greenwich Village; 26 W 9th St, Manhattan, NY 10011; (917) 746-7892 
Darcy Stockton Massage Therapy; Massage Therapy, Day Spas; 5.0 star rating; 31 reviews; Prospect Heights; 603 Bergen St, Brooklyn, NY 11238; (646) 926-1189 
Darin Burdman, DC; Chiropractors; 5.0 star rating; 4 reviews; Gravesend; 414 Gravesend Neck Rd, Brooklyn, NY 11223; (917) 623-5601 
Darin Burdman; Chiropractors; 0; 0; Chelsea, Midtown West; 214 W 29th St, New York, NY 10001; (917) 623-5601 
Darin Transformations; Counseling & Mental Health, Reiki; 5.0 star rating; 3 reviews; Midtown East, Murray Hill; 185 Madison Ave, New York, NY 10016; (914) 500-3712 
Darius Kohan MD; Ear Nose & Throat, Audiologist, Hearing Aid Providers; 4.5 star rating; 6 reviews; Upper East Side; 863 Park Ave, New York, NY 10075; (212) 472-1300 
Darling Smile; General Dentistry, Cosmetic Dentists, Pediatric Dentists; 2.0 star rating; 26 reviews; Midtown West; 19 W 34th St, New York, NY 10001; (212) 564-6686 
Darrick E. Antell, MD, FACS; Cosmetic Surgeons; 4.0 star rating; 19 reviews; Upper East Side; 850 Park Avenue, New York, NY 10075; (212) 988-4040 
Dave Ores, MD; Doctors; 4.0 star rating; 14 reviews; East Village, Alphabet City; 189 E 2nd St, New York, NY 10009; (212) 353-3020 
Daveed Frazier, MD; Doctors; 0; 0; Cobble Hill; 97 Amity St, Brooklyn, NY 11201; (718) 780-4701 
Daveed Frazier, MD; Doctors; 0; 0; Midtown East; 305 E 47th St, New York, NY 10017; (212) 751-2100 
David Borenstein, MD; Doctors; 3.5 star rating; 39 reviews; Upper West Side; 1841 Broadway, New York, NY 10023; (212) 262-2412 
David Feldman, MD; Gastroenterologist; 5.0 star rating; 2 reviews; Greenwich Village; 2 5th Ave, New York, NY 10011; (212) 355-0599 
David Godin, MD FACS; Ear Nose & Throat; 3.5 star rating; 21 reviews; Flatiron; 261 5th Ave, New York, NY 10016; (212) 679-3499 
David H Fields, MD; Doctors; 5.0 star rating; 13 reviews; Midtown East; 888 Park Ave, New York, NY 10021; (212) 249-4700 
David J Goldberg, MD; Dermatologists; 2.5 star rating; 3 reviews; Midtown East; 115 E 57th St, New York, NY 10022; (212) 750-8900 
David K Lew, MS, L Ac; Acupuncture; 4.0 star rating; 1 review; Midtown East; 141 E 55th St, New York, NY 10022; (212) 759-0880 
